           6          19  = Z, N
      456789  = random seed
  #      Ehf       J^2 (   Jx^2   Jy^2   Jz^2 )  beta  gamma (#iter) 
  1    -198.379   31.320(  14.50  14.97   1.85 ) 0.144 59.917 (  362)
  2    -198.380   31.336(  15.67   0.26  15.41 ) 0.144 59.921 (   80)
  3    -198.380   31.354(  15.06   0.26  16.03 ) 0.144 59.914 (  588)
  4    -198.380   31.354(   9.06  14.97   7.33 ) 0.144 59.914 (  424)
  5    -198.379   31.283(   0.36  14.97  15.95 ) 0.144 59.919 (  373)
  6    -198.369   30.206(   0.61  14.97  14.62 ) 0.144 59.999 (   89)
  7    -198.379   31.219(   5.06  14.97  11.19 ) 0.144 59.936 (   74)
  8    -198.380   31.355(  15.62   0.26  15.47 ) 0.144 59.913 (  240)
  9    -198.380   31.357(  14.97   0.26  16.13 ) 0.144 59.913 (  359)
 10    -198.380   31.356(  16.13   0.26  14.97 ) 0.144 59.913 (  323)
 11    -198.379   31.286(  15.70  14.97   0.62 ) 0.144 59.919 (  338)
 12    -198.380   31.346(  15.56  14.97   0.81 ) 0.144 59.915 (  300)
 13    -198.380   31.354(  15.73   0.26  15.36 ) 0.144 59.913 (  588)
 14    -198.380   31.354(  15.63   0.26  15.46 ) 0.144 59.914 (  245)
 15    -198.373   30.707(   9.04  14.97   6.69 ) 0.144 59.962 (  432)
