           4          16  = Z, N
      456789  = random seed
  #      Ehf       J^2 (   Jx^2   Jy^2   Jz^2 )  beta  gamma (#iter) 
  1    -140.059   33.520(   6.01  16.74  10.77 ) 0.174 23.093 (  177)
  2    -140.059   33.529(   5.43  16.74  11.36 ) 0.174 23.118 (  201)
  3    -140.059   33.545(   8.53  16.74   8.28 ) 0.174 23.188 (  854)
  4    -140.059   33.512(   8.77  16.74   8.01 ) 0.174 23.050 (  385)
  5    -140.059   33.540(   8.04  16.73   8.77 ) 0.174 23.169 (  296)
  6    -140.059   33.528(  14.62   5.42  13.49 ) 0.174 23.134 (  120)
  7    -140.059   33.544(  12.12   5.44  15.99 ) 0.174 23.183 (   82)
  8    -140.059   33.530(   6.65  11.37  15.51 ) 0.174 23.120 (   92)
  9    -140.059   33.532(   6.86  16.74   9.93 ) 0.174 23.132 (  357)
 10    -140.059   33.541(   6.58  11.37  15.59 ) 0.174 23.172 (   84)
 11    -140.059   33.544(   5.46  16.74  11.35 ) 0.174 23.182 (   62)
 12    -140.059   33.548(   5.53  16.74  11.28 ) 0.174 23.199 (   82)
 13    -140.059   33.539(   9.59  16.74   7.21 ) 0.174 23.157 (  385)
 14    -140.059   33.531(  14.94  11.37   7.22 ) 0.174 23.125 (   86)
 15    -140.059   33.556(  13.18   5.45  14.92 ) 0.174 23.237 (  247)
