           9          23  = Z, N
      456789  = random seed
  #      Ehf       J^2 (   Jx^2   Jy^2   Jz^2 )  beta  gamma (#iter) 
  1    -286.283   16.350(   5.79   6.19   4.37 ) 0.051 59.772 (  281)
  2    -286.166   15.249(   6.41   2.52   6.32 ) 0.051 59.557 (  162)
  3    -286.282   16.334(   6.00   6.19   4.14 ) 0.051 59.601 (  259)
  4    -286.282   16.348(   4.84   6.19   5.32 ) 0.051 59.697 (  405)
  5    -286.283   16.352(   4.27   6.19   5.89 ) 0.051 59.826 (  319)
  6    -286.283   16.355(   5.40   6.18   4.78 ) 0.051 59.987 (  375)
  7    -286.282   16.349(   4.79   6.19   5.37 ) 0.051 59.779 (  292)
  8    -286.283   16.365(   6.13   6.18   4.06 ) 0.052 59.940 (  445)
  9    -286.168   15.310(   6.35   2.53   6.43 ) 0.051 54.788 (  214)
 10    -286.283   16.355(   4.62   6.18   5.55 ) 0.051 59.967 (  564)
 11    -286.283   16.359(   4.77   6.17   5.42 ) 0.051 59.918 (  302)
 12    -286.283   16.364(   5.43   6.18   4.75 ) 0.052 59.979 (  360)
 13    -286.282   16.370(   5.03   6.21   5.13 ) 0.052 59.659 (  872)
 14    -286.166   15.243(   6.46   2.52   6.26 ) 0.051 58.811 (  170)
 15    -286.282   16.348(   6.12   6.19   4.04 ) 0.051 59.730 (  285)
