           9          22  = Z, N
      456789  = random seed
  #      Ehf       J^2 (   Jx^2   Jy^2   Jz^2 )  beta  gamma (#iter) 
  1    -281.050   16.710(   8.93   4.43   3.36 ) 0.065 41.517 (  233)
  2    -281.051   16.594(   3.97   9.04   3.58 ) 0.066 41.358 (  298)
  3    -281.050   16.530(   4.43   9.00   3.10 ) 0.066 41.619 (  220)
  4    -281.051   16.529(   4.59   3.09   8.84 ) 0.066 41.105 (  380)
  5    -281.050   16.707(   3.90   4.43   8.38 ) 0.065 41.534 (  235)
  6    -281.050   16.684(   6.36   4.42   5.90 ) 0.065 41.458 (  251)
  7    -281.049   16.645(   7.39   4.43   4.82 ) 0.065 41.507 (  251)
  8    -281.051   16.546(   3.82   9.03   3.70 ) 0.066 41.018 (  250)
  9    -281.050   16.530(   9.01   3.07   4.45 ) 0.066 41.398 (  237)
 10    -281.050   16.549(   3.16   9.03   4.36 ) 0.066 41.028 (  246)
 11    -281.050   16.693(   4.26   8.95   3.48 ) 0.065 41.467 (  299)
 12    -281.050   16.710(   8.39   4.44   3.88 ) 0.065 41.617 (  265)
 13    -281.050   16.704(   3.68   8.95   4.08 ) 0.065 41.480 (  258)
 14    -281.051   16.583(   4.44   9.05   3.09 ) 0.066 41.283 (  338)
 15    -281.051   16.532(   3.98   9.01   3.53 ) 0.066 41.092 (  268)
